2026-04-04 03:54:06,786 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 03:54:06,787 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 03:54:06,993 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 03:54:07,082 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 03:54:07,083 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 03:54:07,084 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
2026-04-04 03:55:28,701 | INFO | main | Enhanced analysis requested for patient 10006
2026-04-04 03:55:31,789 | INFO | app.agents | Starting AI analysis for patient AI_ANALYSIS_PATIENT
2026-04-04 03:55:32,859 | INFO | app.agents | Extracting symptoms from clinical notes...
2026-04-04 03:55:32,860 | INFO | app.agents | Using mock clinical notes for symptom extraction
2026-04-04 03:55:33,487 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 03:55:33,501 | INFO | app.agents | Analyzing lab trends from MIMIC CSV data...
2026-04-04 03:55:33,519 | WARNING | app.tools | Insufficient historical data for reliable outlier detection (need at least 2 values)
2026-04-04 03:55:33,520 | WARNING | app.tools | Insufficient historical data for reliable outlier detection (need at least 2 values)
2026-04-04 03:55:33,520 | WARNING | app.tools | Insufficient historical data for reliable outlier detection (need at least 2 values)
2026-04-04 03:55:33,521 | WARNING | app.tools | Insufficient historical data for reliable outlier detection (need at least 2 values)
2026-04-04 03:55:33,521 | WARNING | app.tools | Insufficient historical data for reliable outlier detection (need at least 2 values)
2026-04-04 03:55:33,522 | WARNING | app.tools | Insufficient historical data for reliable outlier detection (need at least 2 values)
2026-04-04 03:55:33,523 | WARNING | app.tools | Insufficient historical data for reliable outlier detection (need at least 2 values)
2026-04-04 03:55:33,524 | WARNING | app.tools | Insufficient historical data for reliable outlier detection (need at least 2 values)
2026-04-04 03:55:33,524 | WARNING | app.tools | Insufficient historical data for reliable outlier detection (need at least 2 values)
2026-04-04 03:55:33,524 | WARNING | app.tools | Insufficient historical data for reliable outlier detection (need at least 2 values)
2026-04-04 03:55:33,525 | WARNING | app.tools | Insufficient historical data for reliable outlier detection (need at least 2 values)
2026-04-04 03:55:33,525 | WARNING | app.tools | Insufficient historical data for reliable outlier detection (need at least 2 values)
2026-04-04 03:55:33,525 | WARNING | app.tools | Insufficient historical data for reliable outlier detection (need at least 2 values)
2026-04-04 03:55:33,908 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 03:55:33,909 | INFO | app.agents | Generating final analysis report...
2026-04-04 03:55:34,622 | WARNING | app.rag | No sufficiently relevant guidelines found for query: 'lethargy; decreased responsiveness; shortness of breath; shallow breathing; clammy skin; cool skin to touch; tachycardia; hypotension; fever; mild hypoxia'
2026-04-04 03:55:35,112 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-04 03:55:35,113 | INFO | app.agents | AI analysis completed for patient AI_ANALYSIS_PATIENT - Risk Score: 0.85
2026-04-04 03:55:35,126 | ERROR | main | Enhanced analysis error for patient 10006: 1 validation error for AnalysisResponse
timestamp
  Input should be a valid string [type=string_type, input_value=1775255135.1144183, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
2026-04-04 04:14:20,591 | INFO | main | 🛑 Shutting down OmniKavach Backend...
2026-04-04 04:14:36,631 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 04:14:36,632 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 04:14:37,128 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 04:14:37,238 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 04:14:37,240 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 04:14:37,241 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
2026-04-04 04:14:55,342 | INFO | main | 🛑 Shutting down OmniKavach Backend...
2026-04-04 04:15:00,767 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 04:15:00,768 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 04:15:00,902 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 04:15:00,984 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 04:15:00,986 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 04:15:00,986 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
2026-04-04 04:15:07,967 | INFO | main | 🛑 Shutting down OmniKavach Backend...
2026-04-04 04:15:13,028 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 04:15:13,028 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 04:15:13,222 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 04:15:13,292 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 04:15:13,293 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 04:15:13,294 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
2026-04-04 04:15:29,004 | INFO | main | 🛑 Shutting down OmniKavach Backend...
2026-04-04 04:15:34,197 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 04:15:34,198 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 04:15:34,325 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 04:15:34,390 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 04:15:34,392 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 04:15:34,392 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
2026-04-04 04:15:39,934 | INFO | main | 🛑 Shutting down OmniKavach Backend...
2026-04-04 04:15:44,892 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 04:15:44,893 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 04:15:45,065 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 04:15:45,128 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 04:15:45,130 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 04:15:45,131 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
2026-04-04 04:15:46,432 | INFO | main | 🛑 Shutting down OmniKavach Backend...
2026-04-04 04:15:51,507 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 04:15:51,508 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 04:15:51,662 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 04:15:51,704 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 04:15:51,705 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 04:15:51,706 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
2026-04-04 04:30:53,086 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 04:30:53,087 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 04:30:53,263 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 04:30:53,320 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 04:30:53,322 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 04:30:53,322 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
2026-04-04 04:32:41,658 | INFO | main | 🛑 Shutting down OmniKavach Backend...
2026-04-04 04:36:31,836 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 04:36:31,836 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 04:36:31,980 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 04:36:32,029 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 04:36:32,031 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 04:36:32,031 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
2026-04-04 04:42:32,250 | INFO | main | 🛑 Shutting down OmniKavach Backend...
2026-04-04 04:42:32,439 | INFO | main | 🛑 Shutting down OmniKavach Backend...
2026-04-04 04:42:43,841 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 04:42:43,842 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 04:42:44,227 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 04:42:44,467 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 04:42:44,484 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 04:42:44,495 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
2026-04-04 04:42:45,105 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 04:42:45,106 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 04:42:45,308 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 04:42:45,383 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 04:42:45,385 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
